,Film_title,Director,Average_rating,Genres,Runtime,Original_language,Description,Studios,Watches,List_appearances,Likes,Fans,Lowest★,Medium★★★,Highest★★★★★,Total_ratings
4948,Quo Vadis,Mervyn LeRoy,3.42,"['History', 'Drama', 'Romance']",171.0,English,"After fierce Roman commander Marcus Vinicius becomes infatuated with beautiful Christian hostage Lygia, he begins to question the tyrannical leadership of the despotic emperor Nero.",['Metro-Goldwyn-Mayer'],12762,8119,1973,31,99,2030,477,7787
4949,The Ladykillers,Alexander Mackendrick,3.79,"['Comedy', 'Crime']",91.0,English,Five oddball criminals planning a bank robbery rent rooms on a cul-de-sac from an octogenarian widow under the pretext that they are classical musicians.,"['Ealing Studios', 'Michael Balcon Productions']",42589,19512,10268,129,93,4213,2613,27257
4950,Get Carter,Mike Hodges,3.73,"['Thriller', 'Crime']",112.0,English,"Jack Carter is a small-time hood working in London. When word reaches him of his brother's death, he travels to Newcastle to attend the funeral. Refusing to accept the police report of suicide, Carter seeks out his brother’s friends and acquaintances to learn who murdered his sibling and why.","['Metro-Goldwyn-Mayer', 'Metro-Goldwyn-Mayer British Studios']",44100,19926,10153,147,154,4688,2564,28894
4951,Rancho Notorious,Fritz Lang,3.57,"['Western', 'Drama']",86.0,English,"A man in search of revenge infiltrates a ranch, hidden in an inhospitable region, where its owner, Altar Keane, gives shelter to outlaws fleeing from the law in exchange for a price.",['Fidelity Pictures Corporation'],11238,6730,2738,8,33,1756,424,7806
4952,Grand Illusion,Jean Renoir,4.2,"['War', 'Drama', 'History']",114.0,French,"A group of French soldiers, including the patrician Captain de Boeldieu and the working-class Lieutenant Maréchal, grapple with their own class differences after being captured and held in a World War I German prison camp. When the men are transferred to a high-security fortress, they must concoct a plan to escape beneath the watchful eye of aristocratic German officer von Rauffenstein, who has formed an unexpected bond with de Boeldieu.","[""Réalisation d'Art Cinématographique""]",65039,48450,17865,372,136,3342,9386,40918
4953,Three Kings,David O. Russell,3.51,"['Comedy', 'War', 'Action']",114.0,English,"A group of American soldiers stationed in Iraq at the end of the Gulf War find a map they believe will take them to a huge cache of stolen Kuwaiti gold hidden near their base, and they embark on a secret mission that's destined to change everything.","['Village Roadshow Pictures', 'Atlas Entertainment', 'Village-A.M. Partnership', 'Coast Ridge', 'Junger Witt Productions']",123629,21991,18482,74,526,16373,2499,66075
4954,A Touch of Zen,King Hu,4.11,"['Fantasy', 'Action', 'Adventure']",180.0,Chinese,"Gu Sheng-zhai, an artist in his early 30s, still lives with his mother, but he is suddenly shaken by the arrival of Yang Hui-zhen, a mysterious princess on the run. Yang brings Gu into her circle of protectors, including a nameless monk whose spiritual guidance transforms him into a valiant fighter.","['Union Film Company', 'International Film Company']",23233,26244,7574,193,53,1445,3625,15988
4955,Ong Bak,Prachya Pinkaew,3.58,"['Action', 'Adventure', 'Thriller', 'Crime']",105.0,Thai,"When the head of a statue sacred to a village is stolen, a young martial artist goes to the big city and finds himself taking on the underworld to retrieve it.","['Baa-Ram-Ewe', 'Sahamongkolfilm', 'EuropaCorp', 'Golden Network Asia']",58245,11423,11659,161,215,7451,2283,34213
4956,Dont Look Back,D. A. Pennebaker,4.13,"['Documentary', 'Music']",96.0,English,"In this wildly entertaining vision of one of the twentieth century’s greatest artists, Bob Dylan is surrounded by teen fans, gets into heated philosophical jousts with journalists, and kicks back with fellow musicians Joan Baez, Donovan, and Alan Price.",['Leacock-Pennebaker'],43443,20360,15810,392,69,2060,6537,26359
4957,Buena Vista Social Club,Wim Wenders,3.92,"['Music', 'Documentary']",105.0,English,"In this fascinating Oscar-nominated documentary, American guitarist Ry Cooder brings together a group of legendary Cuban folk musicians (some in their 90s) to record a Grammy-winning CD in their native city of Havana. The result is a spectacular compilation of concert footage from the group's gigs in Amsterdam and New York City's famed Carnegie Hall, with director Wim Wenders capturing not only the music -- but also the musicians' life stories.","['Kintop Pictures', 'ICAIC', 'ARTE (FR)', 'Wim Wenders Stiftung', 'Road Movies', 'Film4 Productions']",43444,13791,12302,150,54,3303,4012,25603
4958,Buena Vista Social Club: Adios,Lucy Walker,3.49,"['Documentary', 'Music']",110.0,English,"In 1996, Cuban bandleader Juan de Marcos Gonzalez, British producer Nick Gold, and American guitarist Ry Cooder convened in Havana to produce a Cuban-Malian collaboration. When the Malians couldn’t get visas, the team turned their attention to reviving a forgotten generation of legendary son cubano musicians and formed an on-the-fly ensemble: the Buena Vista Social Club. Two decades since that fateful first session, we catch up to these master musicians, as they reflect on the magical unfolding of their lives—from humble origins to the evolution and surprising revival of their careers, all against the backdrop of Cuba’s dramatic history. Brimming with unseen concert, rehearsal, and archival footage, this film is an emotional, shimmering celebration of music’s power to transcend age, ideologies, and class, and to connect us to each other through our souls.","['Blink TV', 'Broad Green Pictures', 'Convergent Media', 'Producciones de la 5ta Avenida']",403,476,86,0,4,68,35,257
4959,Control,Anton Corbijn,3.9,['Drama'],121.0,English,"The story of Joy Division’s lead singer Ian Curtis, from his schoolboy days in 1973 to his suicide on the eve of the band's first American tour in 1980.","['Becker International', 'Claraflora', 'EM Media', 'NorthSee', 'Warner Music UK', 'Three Dogs And A Pony']",108005,21447,33082,1700,211,8890,9835,71918
4960,Blackboard Jungle,Richard Brooks,3.5,"['Crime', 'Drama']",101.0,English,"Richard Dadier is a teacher at North Manual High School, an inner-city school where many of the pupils frequently engage in anti-social behavior. Dadier makes various attempts to engage the students' interest in education, challenging both the school staff and the pupils. He is subjected to violence as well as duplicitous schemes.",['Metro-Goldwyn-Mayer'],9247,7479,1690,4,30,1327,214,5555
4961,The Believer,Henry Bean,3.46,['Drama'],98.0,English,"A hardcore US racist skinhead who, because of his intelligence, leads a gang dedicated to fighting the enemy: the supposed American-Jewish conspiracy for domination. However, he's hiding a secret: he's Jewish-born, a brilliant scholar whose questioning of the tenets of his faith has left him angry and confused, turning against those who he thinks have a tragic history of their own making.","['Seven Arts Pictures', 'Fuller Films']",35470,7516,6275,108,243,6020,1178,24225
4962,The Drop,Michaël R. Roskam,3.48,"['Drama', 'Crime']",106.0,English,"Bob Saginowski finds himself at the center of a robbery gone awry and entwined in an investigation that digs deep into the neighborhood's past where friends, families, and foes all work together to make a living - no matter the cost.","['Fox Searchlight Pictures', 'Chernin Entertainment', 'TSG Entertainment', 'Ingenious Media']",91677,13052,17026,120,334,15946,1872,64983
4963,Selena,Gregory Nava,3.6,"['Music', 'Drama', 'History']",127.0,English,"In this biographical drama, Selena Quintanilla is born into a musical Mexican-American family in Texas. Her father, Abraham, realizes that his young daughter is talented and begins performing with her at small venues. She finds success and falls for her guitarist, Chris Perez, who draws the ire of her father. Seeking mainstream stardom, Selena begins recording an English-language album which, tragically, she would never complete.","['Esparza / Katz Productions', 'Q Productions']",76688,14207,19953,654,249,8485,7812,43554
4964,Sweet Home Alabama,Andy Tennant,2.83,"['Comedy', 'Romance']",108.0,English,"New York fashion designer, Melanie Carmichael suddenly finds herself engaged to the city's most eligible bachelor. But her past holds many secrets—including Jake, the redneck husband she married in high school, who refuses to divorce her. Bound and determined to end their contentious relationship once and for all, Melanie sneaks back home to Alabama to confront her past.","['Touchstone Pictures', 'Original Film', 'D&D Films', 'Pigeon Creek Films']",199009,29198,24937,679,4222,25193,7228,97552
4965,Roger & Me,Michael Moore,3.78,"['Documentary', 'Comedy', 'History']",91.0,English,"A documentary about the closure of General Motors' plant at Flint, Michigan, which resulted in the loss of 30,000 jobs. Details the attempts of filmmaker Michael Moore to get an interview with GM CEO Roger Smith.","['Dog Eat Dog Films', 'Warner Bros. Pictures']",34392,11677,6017,21,115,3110,1586,18153
4966,Grizzly Man,Werner Herzog,4.13,['Documentary'],103.0,English,"Werner Herzog's documentary film about the ""Grizzly Man"" Timothy Treadwell and what the thirteen summers in a National Park in Alaska were like in one man's attempt to protect the grizzly bears. The film is full of unique images and a look into the spirit of a man who sacrificed himself for nature.","['Discovery Docs', 'Real Big Production', 'Lions Gate Films']",156645,35194,44104,961,235,8669,16478,100472
4967,Goodnight Mommy,"Severin Fiala, Veronika Franz",3.37,"['Thriller', 'Mystery', 'Horror']",100.0,German,"In the heat of the summer lays a lonesome house in the countryside where nine year old twin brothers await their mother’s return. When she comes home, bandaged after cosmetic surgery, nothing is like before and the children start to doubt whether this woman is actually who she says she is.","['Koch Media', 'Ulrich Seidl Filmproduktion', 'Radius Productions', 'Filmfonds Wien', 'FISA', 'OFI', 'ORF']",195707,45734,36066,250,2240,30965,7349,134454
4968,Gerald's Game,Mike Flanagan,3.1,"['Drama', 'Thriller', 'Horror']",104.0,English,"When her husband's sex game goes wrong, Jessie (who is handcuffed to a bed in a remote lake house) faces warped visions, dark secrets and a dire choice.",['Intrepid Pictures'],381020,54292,58220,228,7225,68159,9752,251100
4969,Black Christmas,Bob Clark,3.83,"['Thriller', 'Horror', 'Mystery']",98.0,English,"As the residents of the Pi Kappa Sigma sorority house prepare for the festive season, a stranger begins to harass them with a series of obscene phone calls.","['August Films', 'Film Funding Ltd. of Canada', 'Vision IV', 'Canadian Film Development Corporation', 'Famous Players']",218552,103752,80093,2200,899,20758,27004,167202
4970,The Brood,David Cronenberg,3.6,"['Science Fiction', 'Horror']",92.0,English,"A man tries to uncover an unconventional psychologist's therapy techniques on his institutionalized wife, while a series of brutal attacks committed by a brood of mutant children coincides with the husband's investigation.","['Elgin International Films', 'Mutual Productions', 'Canadian Film Development Corporation']",117254,54927,31652,210,471,17272,4785,84097
4971,Cemetery Man,Michele Soavi,3.72,"['Comedy', 'Horror']",103.0,Italian,"Cemetery watchman, Francesco Dellamorte, is tasked with dispatching the recently deceased when they rise from their graves.","['K.G. Productions', 'Audifilm', 'Canal+', 'Urania Film']",46200,28378,15986,612,318,4993,4408,33542
4972,The Changeling,Peter Medak,3.58,['Horror'],105.0,English,"After a tragic event happens, composer John Russell moves to Seattle to try to overcome it and build a new and peaceful life in a lonely big house that has been uninhabited for many years. But, soon after, the obscure history of such an old mansion and his own past begin to haunt him.",['Chessman Park Productions'],73248,33297,18417,171,310,10698,3397,52263
4973,From Beyond,Stuart Gordon,3.52,"['Horror', 'Science Fiction']",85.0,English,"The Resonator, a powerful machine that can control the sixth sense, has killed its creator and sent his associate into an insane asylum. When a beautiful psychiatrist becomes determined to continue the experiment, she unwittingly opens the door to a hostile parallel universe.","['Taryn Prov', 'Empire Pictures']",77625,35107,24540,218,416,11653,3840,57619
